Cloze,Sentence,Question,Right,Wrong,Item
L,Before painting the contractors laid down a tarp on the couch in the den.,,den,living room,1
L,Jennifer asked a close friend if they could go to the zoo in San Diego.,,San Diego,San Fransisco,2
L,Behind the storage shed there were some dead branches and a stump beside the fence.,,a stump,a beehive,3
L,They started filming a documentary about last year's drought in California.,,drought,earthquake,4
L,She decided not to apply because the college was too small and unimpressive.,,too small,too expensive,5
L,Her new wallpaper was the same color as her eyes which which were bright blue.,,eyes,boat,6
L,Laurence woke up early to make his own bread from scratch.,,Laurence,Brenda,7
L,She saw her coworker at the bar who was very loud and annoying.,,very loud,very efficient,8
L,She arrived late because she got stuck in the rain and sleet.,,no,yes,9
L,We heard that the remote island has no known cure for it.,,no,yes,10
L,After his final chemo treatment he felt very proud of his hard work.,,yes,no,11
L,We were surprised when Maria stepped on the brake all of a sudden.,,brake,gas,12
L,Hamilton and his coworkers were chatting together after the long speech about slavery.,,slavery,the economy,13
L,The software was designed by a brilliant hacker living in San Bernardino.,Who designed the software?,the hacker,the experts,14
L,The police officer was unsure if he could find the truth about Sarah.,,,,15
L,My wife said that she didn't like that kind of cake after all.,,,,16
L,He was late because he had to pick up his lunch and his thermos.,,,,17
L,Ben was always an excellent employee because he had a good memory since childhood.,,,,18
L,Bill checked outside but he didn't see the little pigs behind the house.,,,,19
L,My father scared away the burglars with his axe that looked intimidating.,,,,20
L,The biologist used the microscope to see inside of the cocoon made of silk.,,,,21
L,When we were told we had to evacuate we listened to the pilot and copilot.,,,,22
L,Jan wasn't able to turn on the stove in the kitchen.,,,,23
L,On the last day he decided to make a salad for everyone.,,,,24
L,I saw some steam coming out of the new iron in the bedroom.,,,,25
L,At work the assistant needed to find the cart near the tall shelves.,,,,26
L,The restaurant was famous for making a delicious gravy that tastes great.,,,,27
L,After the party the butler cleaned the floor because the boss insisted.,,,,28
L,The local farmers produced a lot of milk that looks fresh.,,,,29
L,When he was walking past the kitchen he accidentally dropped a napkin made of linen.,,,,30
L,After their trip they replaced the battery in the old clock on the wall.,,,,31
L,My cousin was bored and she had nothing to eat while she waited.,,,,32
L,That weekend their interior decorator helped them install a bath at home.,,,,33
L,The crowd watched as the man picked up his racket and swung.,,,,34
L,Jan was walking and she accidentally dropped her bowl at breakfast time.,,,,35
L,He walked down to the supermarket to buy milk flour and vanilla which is his favorite.,,,,36
L,Ben was being so violent that he tried to smash the truck in the garage.,,,,37
L,Earlier the dock worker saw a beautiful white shark in the ocean.,,,,38
L,The marathon runners will cross more than six lanes of traffic.,,,,39
L,Her mother was adamant that she has to wear glasses in class.,,,,40
L,The detective arrived at the crime scene he looked for a pulse and called 911.,,,,41
L,The team had to work for hours to fix the tear in the sail apparently.,,,,42
L,All of the fifth-graders had to get in a circle together.,,,,43
L,His mom sternly warned him because it was very sharp at then end.,,,,44
L,When he crashed his car he decided to call a lawyer right away.,,,,45
L,On their long vacation the family traveled to the south I think.,,,,46
