words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos
"In polluted cities, you can barely breathe the air outside the building.",0,HC,In,polluted,"cities,",you,can,barely,breathe,the,air,outside,the,building.,,,,,176,air,9
The factory built expensive machines to filter the air outside the building.,1,MC,The,factory,built,expensive,machines,to,filter,the,air,outside,the,building.,,,,,176,air,9
They suspected there was something wrong with the air outside the building.,2,LC,They,suspected,there,was,something,wrong,with,the,air,outside,the,building.,,,,,176,air,9
The soldier decided to quit the army after school.,3,HC,The,soldier,decided,to,quit,the,army,after,school.,,,,,,,,210,army,7
George chose not to join the army after school.,4,MC,George,chose,not,to,join,the,army,after,school.,,,,,,,,210,army,7
The students were learning about the army after school.,5,LC,The,students,were,learning,about,the,army,after,school.,,,,,,,,210,army,7
"My sister enjoys poetry, painting, and other forms of art from the past.",6,HC,My,sister,enjoys,"poetry,","painting,",and,other,forms,of,art,from,the,past.,,,,166,art,10
"Even though she's blind, she appreciates many types of art from the past.",7,MC,Even,though,she's,"blind,",she,appreciates,many,types,of,art,from,the,past.,,,,166,art,10
They hired the consultant because of her knowledge of art from the past.,8,LC,They,hired,the,consultant,because,of,her,knowledge,of,art,from,the,past.,,,,166,art,10
They stored all of the Halloween decorations up in the attic at home.,9,HC,They,stored,all,of,the,Halloween,decorations,up,in,the,attic,at,home.,,,,171,attic,11
There were a lot of old clothes stored in the attic at home.,10,MC,There,were,a,lot,of,old,clothes,stored,in,the,attic,at,home.,,,,171,attic,11
The accountant put all of the old documents in the attic at home.,11,LC,The,accountant,put,all,of,the,old,documents,in,the,attic,at,home.,,,,171,attic,11
The lumberjack chopped down the tree with his axe that looked intimidating.,12,HC,The,lumberjack,chopped,down,the,tree,with,his,axe,that,looked,intimidating.,,,,,24,axe,9
The man walked into the forest carrying his axe that looked intimidating.,13,MC,The,man,walked,into,the,forest,carrying,his,axe,that,looked,intimidating.,,,,,24,axe,9
My father scared away the burglars with his axe that looked intimidating.,14,LC,My,father,scared,away,the,burglars,with,his,axe,that,looked,intimidating.,,,,,24,axe,9
The girl bought a pink tutu because she wanted to learn ballet from an expert.,15,HC,The,girl,bought,a,pink,tutu,because,she,wanted,to,learn,ballet,from,an,expert.,,57,ballet,12
"The girl had never danced before, but she wanted to learn ballet from an expert.",16,MC,The,girl,had,never,danced,"before,",but,she,wanted,to,learn,ballet,from,an,expert.,,57,ballet,12
The girl was extremely excited that she was going to learn ballet from an expert.,17,LC,The,girl,was,extremely,excited,that,she,was,going,to,learn,ballet,from,an,expert.,,57,ballet,12
The man used the helium to inflate the red balloon for the child.,18,HC,The,man,used,the,helium,to,inflate,the,red,balloon,for,the,child.,,,,59,balloon,10
"It was her birthday, so he bought the red balloon for the child.",19,MC,It,was,her,"birthday,",so,he,bought,the,red,balloon,for,the,child.,,,,59,balloon,10
The woman at the store was buying the red balloon for the child.,20,LC,The,woman,at,the,store,was,buying,the,red,balloon,for,the,child.,,,,59,balloon,10
The hungry monkey was trying to peel the banana at breakfast.,21,HC,The,hungry,monkey,was,trying,to,peel,the,banana,at,breakfast.,,,,,,206,banana,9
"Because of fruit flies, he threw away the banana at breakfast.",22,MC,Because,of,fruit,"flies,",he,threw,away,the,banana,at,breakfast.,,,,,,206,banana,9
My picky younger brother refused to eat the banana at breakfast.,23,LC,My,picky,younger,brother,refused,to,eat,the,banana,at,breakfast.,,,,,,206,banana,9
"Jenna loved playing the guitar, so she decided to join the band that she admired.",24,HC,Jenna,loved,playing,the,"guitar,",so,she,decided,to,join,the,band,that,she,admired.,,135,band,12
On her eighteenth birthday her parents got her tickets see the band that she admired.,25,MC,On,her,eighteenth,birthday,her,parents,got,her,tickets,see,the,band,that,she,admired.,,135,band,12
"After several rounds of auditions, she never heard back from the band that she admired.",26,LC,After,several,rounds,of,"auditions,",she,never,heard,back,from,the,band,that,she,admired.,,135,band,12
The neighborhood dog always kept her awake by barking through the night.,27,HC,The,neighborhood,dog,always,kept,her,awake,by,barking,through,the,night.,,,,,51,barking,9
Our pets sometimes ask us for treats by barking through the night.,28,MC,Our,pets,sometimes,ask,us,for,treats,by,barking,through,the,night.,,,,,51,barking,9
They knew that Harry kept her awake by barking through the night.,29,LC,They,knew,that,Harry,kept,her,awake,by,barking,through,the,night.,,,,,51,barking,9
"Instead of a shower, she decided to take a bath at home.",30,HC,Instead,of,a,"shower,",she,decided,to,take,a,bath,at,home.,,,,,37,bath,10
"To relax after work, Bill decided to take a bath at home.",31,MC,To,relax,after,"work,",Bill,decided,to,take,a,bath,at,home.,,,,,37,bath,10
"That weekend, their interior decorator helped them install a bath at home.",32,LC,That,"weekend,",their,interior,decorator,helped,them,install,a,bath,at,home.,,,,,37,bath,10
My son saw the bird pecking at the soil using its beak and claws.,33,HC,My,son,saw,the,bird,pecking,at,the,soil,using,its,beak,and,claws.,,,152,beak,12
The bald eagle was trying to attack the hunters using its beak and claws.,34,MC,The,bald,eagle,was,trying,to,attack,the,hunters,using,its,beak,and,claws.,,,152,beak,12
The animal in the zoo enclosure was trying to clean its beak and claws.,35,LC,The,animal,in,the,zoo,enclosure,was,trying,to,clean,its,beak,and,claws.,,,152,beak,12
I asked the maid to change the sheets on the bed in the guestroom.,36,HC,I,asked,the,maid,to,change,the,sheets,on,the,bed,in,the,guestroom.,,,100,bed,11
The chief of police found the suicide note on the bed in the guestroom.,37,MC,The,chief,of,police,found,the,suicide,note,on,the,bed,in,the,guestroom.,,,100,bed,11
There was a large pile of dirty towels on the bed in the guestroom.,38,LC,There,was,a,large,pile,of,dirty,towels,on,the,bed,in,the,guestroom.,,,100,bed,11
The honey was produced by a hive of bees in the yard.,39,HC,The,honey,was,produced,by,a,hive,of,bees,in,the,yard.,,,,,195,bees,9
She is deathly allergic to those types of bees in the yard.,40,MC,She,is,deathly,allergic,to,those,types,of,bees,in,the,yard.,,,,,195,bees,9
The people outside were avoiding the group of bees in the yard.,41,LC,The,people,outside,were,avoiding,the,group,of,bees,in,the,yard.,,,,,195,bees,9
"To wash your clothes whiter, you should add a little bleach to the water.",42,HC,To,wash,your,clothes,"whiter,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11
"To kill all the bacteria, you should add a little bleach to the water.",43,MC,To,kill,all,the,"bacteria,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11
"To prepare the next sample, you should add a little bleach to the water.",44,LC,To,prepare,the,next,"sample,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11
The murderer's knife and clothes were covered in blood from the killings.,45,HC,The,murderer's,knife,and,clothes,were,covered,in,blood,from,the,killings.,,,,,217,blood,9
The cafeteria in the prison was covered in blood from the killings.,46,MC,The,cafeteria,in,the,prison,was,covered,in,blood,from,the,killings.,,,,,217,blood,9
The woman's counter and refrigerator were covered in blood from the killings.,47,LC,The,woman's,counter,and,refrigerator,were,covered,in,blood,from,the,killings.,,,,,217,blood,9
My favorite part of Spring is when the flowers begin to bloom out back.,48,HC,My,favorite,part,of,Spring,is,when,the,flowers,begin,to,bloom,out,back.,,,175,bloom,12
