words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,Sentence,RemovalType,WordsKept,WordsRemoved,ListNumber,Code
"In polluted cities, you can barely breathe the air outside the building.",0,HC,In,polluted,"cities,",you,can,barely,breathe,the,air,outside,the,building.,,,,,176,air,9,"In polluted cities, you can barely breathe the air",2,9,3,2,HC0R2
George chose not to join the army after school.,4,MC,George,chose,not,to,join,the,army,after,school.,,,,,,,,210,army,7,George chose not to join the,1,6,3,2,MC4R1
"My sister enjoys poetry, painting, and other forms of art from the past.",6,HC,My,sister,enjoys,"poetry,","painting,",and,other,forms,of,art,from,the,past.,,,,166,art,10,"My sister enjoys poetry, painting, and other forms of art from",3,11,2,2,HC6R3
There were a lot of old clothes stored in the attic at home.,10,MC,There,were,a,lot,of,old,clothes,stored,in,the,attic,at,home.,,,,171,attic,11,There were a lot of old clothes stored in the attic,2,11,2,2,MC10R2
My father scared away the burglars with his axe that looked intimidating.,14,LC,My,father,scared,away,the,burglars,with,his,axe,that,looked,intimidating.,,,,,24,axe,9,My father scared away the burglars with his,1,8,4,2,LC14R1
"The girl had never danced before, but she wanted to learn ballet from an expert.",16,MC,The,girl,had,never,danced,"before,",but,she,wanted,to,learn,ballet,from,an,expert.,,57,ballet,12,"The girl had never danced before, but she wanted to learn ballet from",3,13,2,2,MC16R3
The woman at the store was buying the red balloon for the child.,20,LC,The,woman,at,the,store,was,buying,the,red,balloon,for,the,child.,,,,59,balloon,10,The woman at the store was buying the red balloon,2,10,3,2,LC20R2
The hungry monkey was trying to peel the banana at breakfast.,21,HC,The,hungry,monkey,was,trying,to,peel,the,banana,at,breakfast.,,,,,,206,banana,9,The hungry monkey was trying to peel the,1,8,3,2,HC21R1
"After several rounds of auditions, she never heard back from the band that she admired.",26,LC,After,several,rounds,of,"auditions,",she,never,heard,back,from,the,band,that,she,admired.,,135,band,12,"After several rounds of auditions, she never heard back from the band that",3,13,2,2,LC26R3
The neighborhood dog always kept her awake by barking through the night.,27,HC,The,neighborhood,dog,always,kept,her,awake,by,barking,through,the,night.,,,,,51,barking,9,The neighborhood dog always kept her awake by barking,2,9,3,2,HC27R2
"To relax after work, Bill decided to take a bath at home.",31,MC,To,relax,after,"work,",Bill,decided,to,take,a,bath,at,home.,,,,,37,bath,10,"To relax after work, Bill decided to take a",1,9,3,2,MC31R1
My son saw the bird pecking at the soil using its beak and claws.,33,HC,My,son,saw,the,bird,pecking,at,the,soil,using,its,beak,and,claws.,,,152,beak,12,My son saw the bird pecking at the soil using its beak and,3,13,1,2,HC33R3
The chief of police found the suicide note on the bed in the guestroom.,37,MC,The,chief,of,police,found,the,suicide,note,on,the,bed,in,the,guestroom.,,,100,bed,11,The chief of police found the suicide note on the bed,2,11,3,2,MC37R2
The people outside were avoiding the group of bees in the yard.,41,LC,The,people,outside,were,avoiding,the,group,of,bees,in,the,yard.,,,,,195,bees,9,The people outside were avoiding the group of,1,8,4,2,LC41R1
"To kill all the bacteria, you should add a little bleach to the water.",43,MC,To,kill,all,the,"bacteria,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11,"To kill all the bacteria, you should add a little bleach to",3,12,2,2,MC43R3
The woman's counter and refrigerator were covered in blood from the killings.,47,LC,The,woman's,counter,and,refrigerator,were,covered,in,blood,from,the,killings.,,,,,217,blood,9,The woman's counter and refrigerator were covered in blood,2,9,3,2,LC47R2
My favorite part of Spring is when the flowers begin to bloom out back.,48,HC,My,favorite,part,of,Spring,is,when,the,flowers,begin,to,bloom,out,back.,,,175,bloom,12,My favorite part of Spring is when the flowers begin to,1,11,3,2,HC48R1
Jonathan was shocked that they decided to use the bomb made of TNT.,53,LC,Jonathan,was,shocked,that,they,decided,to,use,the,bomb,made,of,TNT.,,,,65,bomb,10,Jonathan was shocked that they decided to use the bomb made,3,11,2,2,LC53R3
The author signed a copy of her new book at the bookstore.,54,HC,The,author,signed,a,copy,of,her,new,book,at,the,bookstore.,,,,,75,book,9,The author signed a copy of her new book,2,9,3,2,HC54R2
There were lots of intimidating guards stationed at the border into Texas.,58,MC,There,were,lots,of,intimidating,guards,stationed,at,the,border,into,Texas.,,,,,151,border,10,There were lots of intimidating guards stationed at the,1,9,3,2,MC58R1
"Because the work was repetitive, he thought it was boring and dull.",60,HC,Because,the,work,was,"repetitive,",he,thought,it,was,boring,and,dull.,,,,,102,boring,10,"Because the work was repetitive, he thought it was boring and",3,11,1,2,HC60R3
"While facing the target, he picked up his bow and fired.",64,MC,While,facing,the,"target,",he,picked,up,his,bow,and,fired.,,,,,,162,bow,9,"While facing the target, he picked up his bow",2,9,2,2,MC64R2
Jan was walking and she accidentally dropped her bowl at breakfast time.,68,LC,Jan,was,walking,and,she,accidentally,dropped,her,bowl,at,breakfast,time.,,,,,39,bowl,9,Jan was walking and she accidentally dropped her,1,8,4,2,LC68R1
My passengers jumped when I stepped on the brake all of a sudden.,70,MC,My,passengers,jumped,when,I,stepped,on,the,brake,all,of,a,sudden.,,,,16,brake,9,My passengers jumped when I stepped on the brake all,3,10,3,2,MC70R3
Laurence woke up early to make his own bread from scratch.,74,LC,Laurence,woke,up,early,to,make,his,own,bread,from,scratch.,,,,,,11,bread,9,Laurence woke up early to make his own bread,2,9,2,2,LC74R2
They got a loan to start their own small business in Wichita.,75,HC,They,got,a,loan,to,start,their,own,small,business,in,Wichita.,,,,,105,business,10,They got a loan to start their own small,1,9,3,2,HC75R1
My wife said that she didn't like that kind of cake after all.,80,LC,My,wife,said,that,she,didn't,like,that,kind,of,cake,after,all.,,,,20,cake,11,My wife said that she didn't like that kind of cake after,3,12,1,2,LC80R3
