words,itemnum,used_in_expt2,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,gpt2,gpt2prob,gpt2region,gpt2regionprob,glovedistmin,glovedistmean,unigram,unigramregion,wlen,wlenregion
"In polluted cities, you can barely breathe the air outside the building.",0,False,HC,In,polluted,"cities,",you,can,barely,breathe,the,air,outside,the,building.,,,,,176,air,9,0.49399352,0.6101847,8.724318,0.0001625837,0.6391302125579174,0.7805111116783314,3.9721217,9.0414048,3,13
The factory built expensive machines to filter the air outside the building.,1,False,MC,The,factory,built,expensive,machines,to,filter,the,air,outside,the,building.,,,,,176,air,9,1.821911,0.16171642,10.073734,4.2172833e-05,0.7178999766664074,0.8574079228157301,3.9721217,9.0414048,3,13
They suspected there was something wrong with the air outside the building.,2,False,LC,They,suspected,there,was,something,wrong,with,the,air,outside,the,building.,,,,,176,air,9,5.647546,0.00352616,12.948794,2.3790856e-06,0.949670551895021,0.9912794601040916,3.9721217,9.0414048,3,13
The soldier decided to quit the army after school.,3,False,HC,The,soldier,decided,to,quit,the,army,after,school.,,,,,,,,210,army,7,2.174239,0.11369465,14.513166,4.977507e-07,0.3686418737985978,0.7553334276027694,4.3440685,11.906688599999999,4,16
George chose not to join the army after school.,4,False,MC,George,chose,not,to,join,the,army,after,school.,,,,,,,,210,army,7,4.438136,0.011817945,15.313473,2.2358532e-07,0.8396668673726218,0.9092974306998544,4.3440685,11.906688599999999,4,16
The students were learning about the army after school.,5,False,LC,The,students,were,learning,about,the,army,after,school.,,,,,,,,210,army,7,9.357142,8.634649e-05,20.216892,1.6592631e-09,0.9627231413682374,0.9936268180757564,4.3440685,11.906688599999999,4,16
"My sister enjoys poetry, painting, and other forms of art from the past.",6,False,HC,My,sister,enjoys,"poetry,","painting,",and,other,forms,of,art,from,the,past.,,,,166,art,10,1.1840705,0.3060305,8.029457,0.000325725,0.3563309988256495,0.7258031115846488,4.156868,7.8575515,3,10
"Even though she's blind, she appreciates many types of art from the past.",7,False,MC,Even,though,she's,"blind,",she,appreciates,many,types,of,art,from,the,past.,,,,166,art,10,4.814939,0.008107716,11.616682,9.014447e-06,0.8697705530061446,0.960773118228849,4.156868,7.8575515,3,10
They hired the consultant because of her knowledge of art from the past.,8,False,LC,They,hired,the,consultant,because,of,her,knowledge,of,art,from,the,past.,,,,166,art,10,6.775816,0.0011410391,14.091263,7.5900095e-07,0.7849691663240703,0.8873117849457587,4.156868,7.8575515,3,10
They stored all of the Halloween decorations up in the attic at home.,9,False,HC,They,stored,all,of,the,Halloween,decorations,up,in,the,attic,at,home.,,,,171,attic,11,1.6396313,0.19405158,11.250013,1.3007124e-05,0.7277889754330604,0.7831555165427764,6.0217485,12.7116606,5,12
There were a lot of old clothes stored in the attic at home.,10,False,MC,There,were,a,lot,of,old,clothes,stored,in,the,attic,at,home.,,,,171,attic,11,3.2501006,0.038770307,12.360979,4.2824768e-06,0.7802051133901488,0.809623218035756,6.0217485,12.7116606,5,12
The accountant put all of the old documents in the attic at home.,11,False,LC,The,accountant,put,all,of,the,old,documents,in,the,attic,at,home.,,,,171,attic,11,4.1246676,0.016168868,13.263812,1.7361995e-06,0.7911167901865577,0.8849127183131457,6.0217485,12.7116606,5,12
The lumberjack chopped down the tree with his axe that looked intimidating.,12,True,HC,The,lumberjack,chopped,down,the,tree,with,his,axe,that,looked,intimidating.,,,,,24,axe,9,1.4750942,0.22875717,12.240878,4.828966e-06,0.6858431760352893,0.7799794812534955,5.5323787,11.4582564,3,13
The man walked into the forest carrying his axe that looked intimidating.,13,True,MC,The,man,walked,into,the,forest,carrying,his,axe,that,looked,intimidating.,,,,,24,axe,9,5.8975453,0.0027461776,16.235474,8.89249e-08,0.759851971672125,0.854084204753878,5.5323787,11.4582564,3,13
My father scared away the burglars with his axe that looked intimidating.,14,True,LC,My,father,scared,away,the,burglars,with,his,axe,that,looked,intimidating.,,,,,24,axe,9,6.9204345,0.0009874009,18.619541,8.1966425e-09,0.906378070867454,0.9306775630840344,5.5323787,11.4582564,3,13
The girl bought a pink tutu because she wanted to learn ballet from an expert.,15,False,HC,The,girl,bought,a,pink,tutu,because,she,wanted,to,learn,ballet,from,an,expert.,,57,ballet,12,5.882494,0.0027878238,13.67501,1.15085e-06,0.5594319936888188,0.8182231994527212,5.7968926,10.656281,6,12
"The girl had never danced before, but she wanted to learn ballet from an expert.",16,False,MC,The,girl,had,never,danced,"before,",but,she,wanted,to,learn,ballet,from,an,expert.,,57,ballet,12,5.95979,0.0025804532,14.48679,5.1105445e-07,0.5376477516416849,0.8101714907943421,5.7968926,10.656281,6,12
